"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","valor","units","comments","author_code"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.169,NA,NA,"350CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",37.387,NA,NA,"350CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.157,NA,NA,"350CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",41.701,NA,NA,"249CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.149,NA,NA,"249CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",34.338,NA,NA,"249CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.164,NA,NA,"249CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",36.575,NA,NA,"253CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.157,NA,NA,"253CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",29.595,NA,NA,"253CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.156,NA,NA,"253CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",30.343,NA,NA,"255CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.279,NA,NA,"255CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",20.693,NA,NA,"255CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.176,NA,NA,"255CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",40.517,NA,NA,"256CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.164,NA,NA,"256CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",28.28,NA,NA,"256CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.136,NA,NA,"256CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",43.821,NA,NA,"434CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.154,NA,NA,"434CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",40.975,NA,NA,"434CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.135,NA,NA,"434CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",40.263,NA,NA,"433CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.198,NA,NA,"433CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",30.007,NA,NA,"433CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.154,NA,NA,"433CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",39.847,NA,NA,"432CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.185,NA,NA,"432CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",18.874,NA,NA,"432CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.161,NA,NA,"432CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",NA,NA,NA,"302CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",NA,NA,NA,"302CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",NA,NA,NA,"302CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",NA,NA,NA,"302CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",33.893,NA,NA,"337CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.192,NA,NA,"337CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",28.65,NA,NA,"337CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.179,NA,NA,"337CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",46.537,NA,NA,"301CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.177,NA,NA,"301CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",37.322,NA,NA,"301CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.168,NA,NA,"301CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",37.054,NA,NA,"226CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.186,NA,NA,"226CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",26.153,NA,NA,"226CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.223,NA,NA,"226CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",39.186,NA,NA,"223CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.228,NA,NA,"223CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",35.996,NA,NA,"223CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.196,NA,NA,"223CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",35.935,NA,NA,"222CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.222,NA,NA,"222CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",30.706,NA,NA,"222CL"
