"site","treatment","sampling_unit","year","observation","level","sampling_unit_new"
"toledo","high","trap_7",2021,0,"raton","toledo/high/trap_7/2021"
"valencia","high","trap_7",2021,33.3333333333333,"raton","valencia/high/trap_7/2021"
"toledo","hyper","trap_7",2021,33.3333333333333,"raton","toledo/hyper/trap_7/2021"
"valencia","hyper","trap_7",2021,33.3333333333333,"raton","valencia/hyper/trap_7/2021"
"toledo","control","trap_8",2021,33.3333333333333,"raton","toledo/control/trap_8/2021"
"valencia","control_high","trap_8",2021,33.3333333333333,"raton","valencia/control_high/trap_8/2021"
"valencia","control_hyper","trap_8",2021,33.3333333333333,"raton","valencia/control_hyper/trap_8/2021"
"toledo","high","trap_8",2021,66.6666666666667,"raton","toledo/high/trap_8/2021"
"valencia","high","trap_8",2021,33.3333333333333,"raton","valencia/high/trap_8/2021"
"toledo","hyper","trap_8",2021,66.6666666666667,"raton","toledo/hyper/trap_8/2021"
"valencia","hyper","trap_8",2021,0,"raton","valencia/hyper/trap_8/2021"
"toledo","control","trap_9",2021,33.3333333333333,"raton","toledo/control/trap_9/2021"
"valencia","control_high","trap_9",2021,33.3333333333333,"raton","valencia/control_high/trap_9/2021"
"valencia","control_hyper","trap_9",2021,33.3333333333333,"raton","valencia/control_hyper/trap_9/2021"
"toledo","high","trap_9",2021,0,"raton","toledo/high/trap_9/2021"
"valencia","high","trap_9",2021,0,"raton","valencia/high/trap_9/2021"
"toledo","hyper","trap_9",2021,0,"raton","toledo/hyper/trap_9/2021"
"valencia","hyper","trap_9",2021,0,"raton","valencia/hyper/trap_9/2021"
"toledo","control","trap_1",2022,0,"raton","toledo/control/trap_1/2022"
"valencia","control_high","trap_1",2022,0,"raton","valencia/control_high/trap_1/2022"
"valencia","control_hyper","trap_1",2022,0,"raton","valencia/control_hyper/trap_1/2022"
"toledo","high","trap_1",2022,0,"raton","toledo/high/trap_1/2022"
"valencia","high","trap_1",2022,0,"raton","valencia/high/trap_1/2022"
"toledo","hyper","trap_1",2022,0,"raton","toledo/hyper/trap_1/2022"
"valencia","hyper","trap_1",2022,0,"raton","valencia/hyper/trap_1/2022"
"toledo","control","trap_10",2022,0,"raton","toledo/control/trap_10/2022"
"valencia","control_high","trap_10",2022,0,"raton","valencia/control_high/trap_10/2022"
"valencia","control_hyper","trap_10",2022,33.3333333333333,"raton","valencia/control_hyper/trap_10/2022"
"toledo","high","trap_10",2022,0,"raton","toledo/high/trap_10/2022"
"valencia","high","trap_10",2022,0,"raton","valencia/high/trap_10/2022"
"toledo","hyper","trap_10",2022,33.3333333333333,"raton","toledo/hyper/trap_10/2022"
"valencia","hyper","trap_10",2022,0,"raton","valencia/hyper/trap_10/2022"
"toledo","control","trap_11",2022,0,"raton","toledo/control/trap_11/2022"
"valencia","control_high","trap_11",2022,0,"raton","valencia/control_high/trap_11/2022"
"valencia","control_hyper","trap_11",2022,33.3333333333333,"raton","valencia/control_hyper/trap_11/2022"
"toledo","high","trap_11",2022,0,"raton","toledo/high/trap_11/2022"
"valencia","high","trap_11",2022,0,"raton","valencia/high/trap_11/2022"
"toledo","hyper","trap_11",2022,0,"raton","toledo/hyper/trap_11/2022"
"valencia","hyper","trap_11",2022,33.3333333333333,"raton","valencia/hyper/trap_11/2022"
"toledo","control","trap_12",2022,33.3333333333333,"raton","toledo/control/trap_12/2022"
"valencia","control_high","trap_12",2022,33.3333333333333,"raton","valencia/control_high/trap_12/2022"
"valencia","control_hyper","trap_12",2022,0,"raton","valencia/control_hyper/trap_12/2022"
"toledo","high","trap_12",2022,66.6666666666667,"raton","toledo/high/trap_12/2022"
"valencia","high","trap_12",2022,0,"raton","valencia/high/trap_12/2022"
"toledo","hyper","trap_12",2022,0,"raton","toledo/hyper/trap_12/2022"
"valencia","hyper","trap_12",2022,33.3333333333333,"raton","valencia/hyper/trap_12/2022"
"toledo","control","trap_13",2022,66.6666666666667,"raton","toledo/control/trap_13/2022"
"valencia","control_high","trap_13",2022,0,"raton","valencia/control_high/trap_13/2022"
"valencia","control_hyper","trap_13",2022,0,"raton","valencia/control_hyper/trap_13/2022"
"toledo","high","trap_13",2022,0,"raton","toledo/high/trap_13/2022"
"valencia","high","trap_13",2022,0,"raton","valencia/high/trap_13/2022"
"toledo","hyper","trap_13",2022,0,"raton","toledo/hyper/trap_13/2022"
"valencia","hyper","trap_13",2022,0,"raton","valencia/hyper/trap_13/2022"
"toledo","control","trap_14",2022,33.3333333333333,"raton","toledo/control/trap_14/2022"
"valencia","control_high","trap_14",2022,0,"raton","valencia/control_high/trap_14/2022"
"valencia","control_hyper","trap_14",2022,0,"raton","valencia/control_hyper/trap_14/2022"
"toledo","high","trap_14",2022,0,"raton","toledo/high/trap_14/2022"
"valencia","high","trap_14",2022,0,"raton","valencia/high/trap_14/2022"
"toledo","hyper","trap_14",2022,33.3333333333333,"raton","toledo/hyper/trap_14/2022"
"valencia","hyper","trap_14",2022,0,"raton","valencia/hyper/trap_14/2022"
"toledo","control","trap_15",2022,33.3333333333333,"raton","toledo/control/trap_15/2022"
"valencia","control_high","trap_15",2022,0,"raton","valencia/control_high/trap_15/2022"
"valencia","control_hyper","trap_15",2022,0,"raton","valencia/control_hyper/trap_15/2022"
"toledo","high","trap_15",2022,0,"raton","toledo/high/trap_15/2022"
"valencia","high","trap_15",2022,0,"raton","valencia/high/trap_15/2022"
"toledo","hyper","trap_15",2022,0,"raton","toledo/hyper/trap_15/2022"
"valencia","hyper","trap_15",2022,0,"raton","valencia/hyper/trap_15/2022"
"valencia","control_high","trap_16",2022,0,"raton","valencia/control_high/trap_16/2022"
"valencia","control_hyper","trap_16",2022,0,"raton","valencia/control_hyper/trap_16/2022"
"toledo","high","trap_16",2022,33.3333333333333,"raton","toledo/high/trap_16/2022"
"valencia","high","trap_16",2022,66.6666666666667,"raton","valencia/high/trap_16/2022"
"toledo","hyper","trap_16",2022,0,"raton","toledo/hyper/trap_16/2022"
