"site","habitat","treatment","sampling_unit","indice","valor"
"valencia",NA,"controlhigh","T2_P3","delta_riqueza",-2
"valencia",NA,"controlhigh","T2_P3","delta_shannon",-0.541444552857236
"valencia",NA,"controlhigh","T2_P3","delta_simpson",-0.481362408088016
"valencia",NA,"controlhigh","T3_P1","delta_abundancia",-34
"valencia",NA,"controlhigh","T3_P1","delta_riqueza",-3
"valencia",NA,"controlhigh","T3_P1","delta_shannon",1.67095521583356
"valencia",NA,"controlhigh","T3_P1","delta_simpson",1.19610787753706
"valencia",NA,"controlhigh","T3_P2","delta_abundancia",40
"valencia",NA,"controlhigh","T3_P2","delta_riqueza",2
"valencia",NA,"controlhigh","T3_P2","delta_shannon",2.14244545594452
"valencia",NA,"controlhigh","T3_P2","delta_simpson",1.66616676645543
"valencia",NA,"controlhigh","T3_P3","delta_abundancia",47
"valencia",NA,"controlhigh","T3_P3","delta_riqueza",1
"valencia",NA,"controlhigh","T3_P3","delta_shannon",-0.110106011977518
"valencia",NA,"controlhigh","T3_P3","delta_simpson",-0.301739335631106
"valencia",NA,"controlhigh","T4_P1","delta_abundancia",-7
"valencia",NA,"controlhigh","T4_P1","delta_riqueza",3
"valencia",NA,"controlhigh","T4_P1","delta_shannon",-0.136417762903235
"valencia",NA,"controlhigh","T4_P1","delta_simpson",-0.259756585655656
"valencia",NA,"controlhigh","T4_P2","delta_abundancia",136
"valencia",NA,"controlhigh","T4_P2","delta_riqueza",5
"valencia",NA,"controlhigh","T4_P2","delta_shannon",0.579995897036472
"valencia",NA,"controlhigh","T4_P2","delta_simpson",0.101192079700867
"valencia",NA,"controlhigh","T4_P3","delta_abundancia",-86
"valencia",NA,"controlhigh","T4_P3","delta_riqueza",-1
"valencia",NA,"controlhigh","T4_P3","delta_shannon",1.59254243675739
"valencia",NA,"controlhigh","T4_P3","delta_simpson",1.10768547938192
"valencia",NA,"controlhyper","T1_P1","delta_abundancia",-174
"valencia",NA,"controlhyper","T1_P1","delta_riqueza",0
"valencia",NA,"controlhyper","T1_P1","delta_shannon",3.37549984304727
"valencia",NA,"controlhyper","T1_P1","delta_simpson",2.96938611959488
"valencia",NA,"controlhyper","T1_P2","delta_abundancia",14
"valencia",NA,"controlhyper","T1_P2","delta_riqueza",3
"valencia",NA,"controlhyper","T1_P2","delta_shannon",3.17361317355644
"valencia",NA,"controlhyper","T1_P2","delta_simpson",2.87802786709539
"valencia",NA,"controlhyper","T1_P3","delta_abundancia",32
"valencia",NA,"controlhyper","T1_P3","delta_riqueza",5
"valencia",NA,"controlhyper","T1_P3","delta_shannon",1.83282232535448
"valencia",NA,"controlhyper","T1_P3","delta_simpson",0.984278450163258
"valencia",NA,"controlhyper","T2_P1","delta_abundancia",31
"valencia",NA,"controlhyper","T2_P1","delta_riqueza",5
"valencia",NA,"controlhyper","T2_P1","delta_shannon",1.74333568788265
"valencia",NA,"controlhyper","T2_P1","delta_simpson",0.933388276415005
"valencia",NA,"controlhyper","T2_P2","delta_abundancia",-112
"valencia",NA,"controlhyper","T2_P2","delta_riqueza",-2
"valencia",NA,"controlhyper","T2_P2","delta_shannon",2.29696111073266
"valencia",NA,"controlhyper","T2_P2","delta_simpson",2.33879456618275
"valencia",NA,"controlhyper","T2_P3","delta_abundancia",69
"valencia",NA,"controlhyper","T2_P3","delta_riqueza",3
"valencia",NA,"controlhyper","T2_P3","delta_shannon",1.3520505324856
"valencia",NA,"controlhyper","T2_P3","delta_simpson",0.461962391729266
"valencia",NA,"controlhyper","T3_P1","delta_abundancia",12
"valencia",NA,"controlhyper","T3_P1","delta_riqueza",2
"valencia",NA,"controlhyper","T3_P1","delta_shannon",0.855134484626965
"valencia",NA,"controlhyper","T3_P1","delta_simpson",0.23083992698889
"valencia",NA,"controlhyper","T3_P2","delta_abundancia",-13
"valencia",NA,"controlhyper","T3_P2","delta_riqueza",4
"valencia",NA,"controlhyper","T3_P2","delta_shannon",1.13773111571914
"valencia",NA,"controlhyper","T3_P2","delta_simpson",0.738777545526114
"valencia",NA,"controlhyper","T3_P3","delta_abundancia",43
"valencia",NA,"controlhyper","T3_P3","delta_riqueza",9
"valencia",NA,"controlhyper","T3_P3","delta_shannon",1.58207324703037
"valencia",NA,"controlhyper","T3_P3","delta_simpson",0.7887592313536
"valencia",NA,"controlhyper","T4_P1","delta_abundancia",99
"valencia",NA,"controlhyper","T4_P1","delta_riqueza",-1
"valencia",NA,"controlhyper","T4_P1","delta_shannon",-1.01046815361672
"valencia",NA,"controlhyper","T4_P1","delta_simpson",-0.526086452447644
"valencia",NA,"controlhyper","T4_P2","delta_abundancia",164
"valencia",NA,"controlhyper","T4_P2","delta_riqueza",1
"valencia",NA,"controlhyper","T4_P2","delta_shannon",-0.182678301017935
"valencia",NA,"controlhyper","T4_P2","delta_simpson",-0.310671271445045
"valencia",NA,"controlhyper","T4_P3","delta_abundancia",65
"valencia",NA,"controlhyper","T4_P3","delta_riqueza",1
"valencia",NA,"controlhyper","T4_P3","delta_shannon",1.78473591504439
"valencia",NA,"controlhyper","T4_P3","delta_simpson",2.07858993109665
"valencia",NA,"high","T1_P1","delta_abundancia",131
"valencia",NA,"high","T1_P1","delta_riqueza",1
"valencia",NA,"high","T1_P1","delta_shannon",1.78924650651155
"valencia",NA,"high","T1_P1","delta_simpson",1.54828429560687
"valencia",NA,"high","T1_P2","delta_abundancia",54
"valencia",NA,"high","T1_P2","delta_riqueza",0
"valencia",NA,"high","T1_P2","delta_shannon",-0.927437029014186
"valencia",NA,"high","T1_P2","delta_simpson",-0.791236652998594
"valencia",NA,"high","T1_P3","delta_abundancia",-40
"valencia",NA,"high","T1_P3","delta_riqueza",4
"valencia",NA,"high","T1_P3","delta_shannon",1.35563334943556
"valencia",NA,"high","T1_P3","delta_simpson",0.694340714988247
"valencia",NA,"high","T2_P1","delta_abundancia",95
"valencia",NA,"high","T2_P1","delta_riqueza",2
"valencia",NA,"high","T2_P1","delta_shannon",0.406052296312457
"valencia",NA,"high","T2_P1","delta_simpson",0.691789108433623
"valencia",NA,"high","T2_P2","delta_abundancia",-151
"valencia",NA,"high","T2_P2","delta_riqueza",-5
"valencia",NA,"high","T2_P2","delta_shannon",-0.356903356094456
"valencia",NA,"high","T2_P2","delta_simpson",-0.240451071286906
"valencia",NA,"high","T2_P3","delta_abundancia",-1
"valencia",NA,"high","T2_P3","delta_riqueza",5
"valencia",NA,"high","T2_P3","delta_shannon",3.07778719113367
"valencia",NA,"high","T2_P3","delta_simpson",2.07535549272477
"valencia",NA,"high","T3_P1","delta_abundancia",-17
"valencia",NA,"high","T3_P1","delta_riqueza",0
"valencia",NA,"high","T3_P1","delta_shannon",1.258016778395
"valencia",NA,"high","T3_P1","delta_simpson",0.774298629080587
"valencia",NA,"high","T3_P2","delta_abundancia",32
"valencia",NA,"high","T3_P2","delta_riqueza",3
"valencia",NA,"high","T3_P2","delta_shannon",-0.200141099537993
"valencia",NA,"high","T3_P2","delta_simpson",-0.74126318449877
"valencia",NA,"high","T3_P3","delta_abundancia",34
"valencia",NA,"high","T3_P3","delta_riqueza",2
"valencia",NA,"high","T3_P3","delta_shannon",0.317420393043618
"valencia",NA,"high","T3_P3","delta_simpson",0.0204051979064563
"valencia",NA,"high","T4_P1","delta_abundancia",-149
"valencia",NA,"high","T4_P1","delta_riqueza",1
